artist,explicit,popularity,duration_sec,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
John Lennon,0.1,68.7,209.29000000000002,0.5598,0.4471,3.7,-11.5693,0.8,0.04102,0.5956,0.060693374999999994,0.24281999999999998,0.4086,106.66869999999999,3.8
Jon Bellion,0.2,62.7,212.70999999999998,0.6083999999999999,0.5946,2.7,-5.6736,0.9,0.10346,0.22442,0.000145859,0.12903,0.5501,119.87570000000001,4.0
Joyner,1.0,71.4,212.26999999999998,0.7851,0.6449,6.6,-6.753,0.4,0.21112000000000003,0.26953499999999997,7.532e-06,0.22079,0.5634,119.9514,3.8
Juice WRLD,1.0,83.0,206.69,0.6294000000000001,0.6359999999999999,3.5,-6.036,0.7,0.18051999999999999,0.113896,3.35e-05,0.18124,0.40774,139.9785,4.0
Justin Bieber,0.2,84.5,194.87,0.6594,0.6475,3.8,-6.0596000000000005,0.8,0.09815,0.21463000000000002,3.269e-06,0.23214,0.5231,116.5921,3.9
Justin Timberlake,0.2,76.0,309.59000000000003,0.7461,0.6645,7.0,-5.8258,0.3,0.11577,0.18180000000000002,0.00012784900000000003,0.19687,0.6237999999999999,99.4294,4.0
Kanye West,0.6,84.5,220.36999999999998,0.6106,0.6351,3.4,-5.885,0.7,0.18522,0.168024,1.11e-05,0.315,0.4372,123.4153,4.0
Katy Perry,0.1,77.6,209.60999999999999,0.6797,0.7671,5.7,-4.424,0.5,0.052790000000000004,0.02693615,4.4990000000000005e-06,0.24440999999999996,0.6519999999999999,123.9008,4.0
Kendrick Lamar,1.0,82.2,242.48000000000002,0.7393,0.5909,5.3,-6.189,0.7,0.1733,0.057046200000000005,4.847e-05,0.13602,0.42679999999999996,114.9164,4.0
Khalid,0.0,80.7,200.2,0.6621,0.5835,3.8,-7.9015,0.4,0.12917,0.28854,0.033881936,0.13685,0.3585,105.0213,4.0
Kid Cudi,0.8,76.8,236.5,0.6798,0.5854,4.9,-6.9967,0.6,0.06253,0.278149,0.090471438,0.19885,0.39348,131.3811,4.0
Kygo,0.0,74.5,214.19,0.6615,0.6157,5.4,-6.671200000000001,0.7,0.08798,0.21591,3.7409999999999994e-06,0.16509000000000001,0.46900000000000003,109.8513,4.0
Lady Gaga,0.1,78.5,225.32,0.6768,0.7064,4.7,-5.0717,0.8,0.05847,0.136404,2.2027e-05,0.25542,0.5681,121.75519999999999,4.0
Lauv,0.2,77.1,191.65,0.6362,0.5032,7.2,-7.8290999999999995,0.9,0.13062,0.41441,3.0042999999999997e-05,0.17268,0.41018,108.15509999999999,3.9
Linkin Park,0.2,79.3,196.70999999999998,0.5687,0.891,5.2,-4.5221,0.6,0.062270000000000006,0.03337,0.000188616,0.35772,0.5045,115.0854,4.0
Logic,1.0,71.9,192.97,0.7287,0.7741,4.2,-6.2324,0.4,0.14561,0.136488,0.0017216500000000004,0.15181,0.6089,141.2439,4.0
Lucas,0.0,65.1,173.23,0.6425,0.7535999999999999,5.9,-5.0187,0.5,0.07526000000000001,0.033923,0.053519337,0.23254999999999998,0.4803,123.4665,4.0
Lukas Graham,0.1,65.5,194.29000000000002,0.6692,0.6078,8.1,-4.8948,0.6,0.08345,0.15967,1.314e-05,0.16092,0.47240000000000004,123.93979999999999,3.9
Mac Miller,0.7,79.2,254.24,0.6980000000000001,0.4859,5.3,-8.607800000000001,0.6,0.17421999999999999,0.466776,0.015079143,0.12291,0.3865,111.5747,4.0
Machine Gun Kelly,0.7,77.6,176.10999999999999,0.6466000000000001,0.7216,3.6,-5.0045,0.5,0.07935,0.0474183,0.00086426,0.25407,0.34540000000000004,116.9879,4.0
